Case #1: 38
1 29 66243
1 30 195231
2 4 67717
2 12 180988
2 13 149844
2 17 147889
2 26 304842
2 31 183457
2 32 360618
3 9 372239
3 17 331668
3 20 310217
3 27 406881
4 6 175527
4 12 113271
4 14 156049
4 31 115740
5 9 368060
5 10 275453
5 18 316656
5 25 290208
5 27 333418
5 28 224558
5 30 235266
6 10 243025
6 22 233847
6 29 105223
7 12 171731
7 16 108893
7 17 21712
7 19 108517
7 26 261352
7 27 200118
7 28 145348
7 30 156056
8 15 285275
8 16 79868
8 17 7313
8 25 183266
8 29 1957
8 31 180646
9 14 328389
9 15 303570
9 24 200218
9 32 281761
10 14 235782
10 18 334685
10 26 139751
10 27 237861
10 31 13428
11 13 125090
11 20 205553
11 25 141348
11 26 280088
11 27 82299
11 29 262483
11 30 317651
12 13 46369
12 18 328035
12 21 46275
12 29 185072
13 14 205310
13 18 304213
13 19 57254
13 21 15131
13 25 46520
14 18 276985
14 29 70521
15 16 257550
15 22 335722
15 25 173375
15 32 21809
16 17 87181
16 19 376
16 24 115363
16 31 101530
17 22 165353
17 30 134344
18 19 270948
18 25 320471
18 26 423783
18 27 237566
18 30 81390
19 20 167979
19 22 78548
19 24 114987
19 28 36831
20 24 138196
20 31 81560
21 27 192258
21 30 207692
21 31 48744
22 26 157721
23 27 177416
24 27 234860
24 31 91346
25 28 140605
25 29 183913
25 32 195184
26 28 116004
28 29 118280
29 32 261509
30 31 256436
Case #76: Impossible
Case #77: 548
1 2 174722
1 3 67819
1 6 63359
1 8 158012
1 9 278668
1 10 155958
1 11 179345
1 13 113377
1 14 53503
1 15 153283
1 17 263626
1 18 238559
1 19 218808
1 20 175809
1 21 162156
1 22 140358
1 24 154488
1 25 139487
1 26 160732
1 27 149962
1 28 159670
1 29 236485
1 31 202194
1 32 99369
1 33 95996
1 34 80247
1 35 147328
1 36 166779
1 37 155195
2 3 114834
2 4 147098
2 5 105803
2 6 116348
2 7 115324
2 9 180844
2 10 128773
2 12 133820
2 13 160029
2 14 179528
2 15 30460
2 16 77737
2 18 149147
2 20 151102
2 21 36954
2 22 103226
2 23 58462
2 24 129893
2 25 72668
2 26 93913
2 27 24760
2 28 92851
2 30 62099
2 31 88659
2 32 121528
2 33 137035
2 35 169487
2 37 185664
3 4 40195
3 5 104803
3 6 75930
3 7 490
3 8 103269
3 9 217526
3 10 115243
3 11 163878
3 12 139819
3 13 70051
3 15 85464
3 16 76737
3 18 170740
3 19 158920
3 20 107990
3 21 102268
3 22 152929
3 23 57462
3 24 116713
3 25 71668
3 26 92913
3 28 91851
3 29 181523
3 31 203493
3 32 31550
3 34 12428
3 35 79509
3 36 112036
3 37 111869
4 5 144998
4 7 40685
4 9 251044
4 10 154263
4 11 151721
4 16 116932
4 17 246133
4 18 210935
4 20 148185
4 21 134532
4 22 112734
4 25 111863
4 26 133108
4 27 122338
4 28 132046
4 29 221718
4 30 84999
4 31 224576
4 33 92977
4 34 52623
4 35 119704
4 37 127571
4 38 240204
5 8 127498
5 9 209890
5 10 101477
5 11 153757
5 12 170369
5 13 174854
5 14 129565
5 15 75343
5 16 28066
5 17 243519
5 18 193026
5 19 149889
5 21 142757
5 23 47341
5 24 100007
5 25 33135
5 26 11890
5 28 81730
5 30 157538
5 31 182087
5 32 136353
5 33 87072
5 35 168462
5 36 136265
5 37 216672
5 38 192373
6 7 76420
6 9 286779
6 10 189998
6 11 187456
6 12 215749
6 13 121488
6 15 146808
6 17 242664
6 18 246670
6 21 120042
6 22 148469
6 23 133392
6 24 188528
6 25 147598
6 26 168843
6 27 107848
6 28 167781
6 29 257453
6 30 120734
6 31 205007
6 34 88358
6 35 155439
6 36 103420
6 37 163306
6 38 275939
7 8 103759
7 9 218016
7 11 164368
7 13 70541
7 14 94785
7 16 77227
7 17 217223
7 19 159410
7 20 108480
7 21 102758
7 22 153419
7 23 57952
7 24 117203
7 25 72158
7 28 92341
7 29 182013
7 30 53225
7 31 203983
7 32 32040
7 33 52292
7 34 12918
7 35 79999
7 36 112526
7 37 112359
8 9 202539
8 10 107078
8 11 127578
8 13 148464
8 15 52155
8 16 99432
8 17 148011
8 20 172797
8 21 25389
8 23 80157
8 25 94363
8 26 115608
8 28 114546
8 29 187605
8 30 50534
8 31 110354
8 32 109963
8 33 156051
8 34 90841
8 35 157922
8 37 190282
8 38 185022
9 11 268965
9 12 276107
9 13 165291
9 14 268378
9 15 150384
9 17 317844
9 18 329991
9 19 224930
9 21 217798
9 23 162549
9 24 205745
9 25 176755
9 26 198000
9 27 205604
9 28 196938
9 29 286610
9 30 242943
9 31 269503
9 32 203792
9 33 270308
9 34 222914
9 35 251751
9 36 211306
9 37 199282
9 38 17517
10 11 199102
10 13 143942
10 14 102455
10 15 120688
10 16 73411
10 18 132750
10 19 172859
10 20 176872
10 22 185069
10 23 92686
10 24 1470
10 25 78480
10 26 89587
10 28 127075
10 29 80527
10 30 69264
10 31 193238
10 32 121937
10 34 102815
10 35 148706
10 36 98311
10 37 185760
11 12 259073
11 13 233929
11 14 232848
11 15 134418
11 16 125691
11 17 169520
11 19 152661
11 22 38987
11 24 197632
11 26 141867
11 27 117453
11 28 140805
11 29 230477
11 30 154792
11 31 108088
11 32 195428
11 33 216660
11 34 176306
11 36 118811
11 38 251448
12 13 185014
12 15 164280
12 16 142303
12 20 222953
12 21 170774
12 22 237046
12 23 161578
12 24 70362
12 25 147372
12 26 158479
12 27 158580
12 28 192569
12 30 138156
12 31 222479
12 32 146513
12 34 127391
12 35 194472
12 36 164282
12 37 226832
12 38 293624
13 14 165326
13 17 160380
13 18 199311
13 19 183396
13 20 114941
13 21 147463
13 23 127513
13 25 141719
13 26 162964
13 27 135269
13 28 161902
13 29 224469
13 30 97930
13 31 138823
13 34 57623
13 35 86460
13 36 157231
13 37 41818
13 38 182808
14 15 180739
14 16 157631
14 18 232265
14 19 223614
14 21 197543
14 23 152737
14 25 162700
14 27 185349
14 28 187126
14 29 182982
14 30 148010
14 31 255697
14 32 126825
14 34 107703
14 35 174784
14 36 200766
14 37 207144
14 38 285895
15 17 180551
15 18 179607
15 19 74546
15 20 120642
15 21 67414
15 22 133686
15 24 119218
15 26 63453
15 27 55220
15 28 62391
15 29 152063
15 30 92559
15 31 119119
15 34 97892
15 35 149123
15 37 197333
15 38 132867
16 17 215453
16 19 121823
16 21 114691
16 22 164678
16 23 19275
16 25 5069
16 26 16176
16 28 53664
16 29 104786
16 30 129472
16 31 154021
16 32 108287
16 33 115138
16 34 89165
16 35 140396
16 37 188606
16 38 164307
17 18 121920
17 19 106005
17 20 108743
17 22 208507
17 23 201383
17 24 239949
17 25 210384
17 26 231629
17 27 134816
17 28 235772
17 30 172155
17 33 269515
17 36 156778
17 37 118562
17 38 313418
18 19 105061
18 20 230663
18 21 186101
18 22 207563
18 23 207609
18 24 131280
18 25 208290
18 27 173907
18 28 241998
18 29 116306
18 30 199074
18 33 223522
18 34 183168
18 35 250249
19 20 195188
19 21 81040
19 22 147312
19 23 102548
19 24 173979
19 25 116754
19 26 137999
19 27 68846
19 28 136937
19 29 181427
19 30 106185
19 31 44573
19 32 165614
19 33 181121
19 34 146492
19 35 213573
19 36 74548
19 37 141578
20 21 185402
20 23 92640
20 25 106846
20 26 128091
20 27 173208
20 29 216701
20 30 135869
20 31 170175
20 32 76440
20 33 160772
20 35 28481
20 37 156759
21 22 66272
21 23 95416
21 24 117327
21 25 109622
21 26 130867
21 27 12194
21 28 129805
21 29 199324
21 30 49533
21 32 108962
21 33 155050
21 34 89840
21 35 156921
21 36 34156
21 37 189281
22 23 145403
22 24 183599
22 25 159609
22 26 180854
22 27 78466
22 29 265596
22 31 147075
22 32 175234
22 34 156112
22 35 223193
22 36 100428
22 37 240305
22 38 266553
23 24 91216
23 26 35451
23 27 83222
23 28 34389
23 29 124061
23 31 147121
23 32 89012
23 33 110244
23 35 121121
23 36 88924
23 37 169331
23 38 145032
24 25 77010
24 26 88117
24 27 105133
24 28 125605
24 29 81997
24 30 67794
24 31 191768
24 32 123407
24 33 143478
24 34 104285
24 35 150176
24 36 99781
24 37 187230
24 38 223262
25 27 97428
25 29 109855
25 30 124403
25 31 148952
25 32 103218
25 33 120207
25 34 84096
25 35 135327
25 36 103130
25 37 183537
25 38 159238
26 27 118673
26 28 69840
26 29 88610
26 31 170197
26 32 124463
26 34 105341
26 35 156572
26 37 204782
27 28 117611
27 29 187130
27 30 37339
27 31 113419
27 33 142856
27 34 77646
27 35 144727
27 37 177087
27 38 188087
28 29 158450
28 30 144586
28 31 181510
28 32 123401
28 33 144633
28 34 104279
28 35 155510
28 36 123313
28 37 203720
28 38 179421
29 30 149791
29 31 176794
29 33 163792
29 34 183342
29 37 266287
29 38 269093
30 33 105517
30 34 40307
30 35 107388
30 36 59301
30 37 139748
30 38 225426
31 32 177324
31 33 225694
31 34 191065
31 35 198656
31 36 119121
31 38 251986
32 33 84332
32 34 19122
32 36 118730
32 37 80319
32 38 221309
33 35 132291
33 36 164818
33 37 164651
34 35 67081
34 36 99608
34 37 99441
35 36 166689
35 37 128278
35 38 266153
37 38 216799
Case #78: 61
1 3 36579
1 4 244734
1 6 299059
1 7 327514
1 8 353509
1 10 283614
2 6 183809
2 9 297286
2 10 71198
2 11 119781
2 12 532025
2 15 218994
3 4 208155
3 5 111224
3 6 262480
3 9 75311
3 12 574192
3 13 143741
3 17 32422
4 6 198345
4 8 255553
4 12 600716
4 13 351896
4 14 234906
4 15 233530
4 17 240577
5 6 326869
5 7 298414
5 8 334109
5 10 358259
5 11 309676
5 15 408889
6 8 185264
6 9 337791
6 10 112611
6 12 470294
6 13 296883
6 16 197540
7 8 213719
7 10 141066
7 12 498749
7 13 325338
7 17 323357
8 9 392241
8 11 121236
8 13 395026
8 16 286133
9 10 226088
9 13 68430
9 14 241631
9 16 348001
9 17 107733
10 14 149172
11 16 164897
11 17 230874
12 14 566988
12 15 550521
12 16 301502
12 17 541770
13 15 373003
14 17 167925
Case #79: Impossible
Case #80: 148
1 2 122991
1 3 231157
1 4 183869
1 5 200689
1 6 311922
1 7 97283
1 8 273488
1 10 252043
1 11 224525
1 14 183730
1 18 264943
1 19 197181
1 20 87129
2 3 208849
2 5 97364
2 6 272649
2 8 241297
2 9 203934
2 10 135083
2 14 79267
2 15 64323
2 17 248148
2 19 235724
2 22 21967
3 5 212817
3 6 203794
3 7 142105
3 9 145800
3 11 265120
3 14 194720
3 15 209664
3 16 131435
3 22 186882
3 23 65630
4 5 233470
4 6 263982
4 7 187723
4 10 283686
4 16 100610
4 20 96752
4 23 125818
5 6 241367
5 7 103406
5 8 180127
5 9 229464
5 11 88780
5 14 18097
5 16 164402
5 17 186978
5 20 136718
5 24 97262
6 8 329027
6 9 171488
6 12 212940
6 13 258978
6 14 223270
6 15 208326
6 17 293156
6 20 267055
6 23 138164
6 24 255601
6 25 257963
7 9 156645
7 10 154760
7 11 127242
7 14 86447
7 15 71503
7 17 161823
7 19 99898
7 22 132338
7 23 76475
7 25 196274
8 9 271009
8 10 217310
8 12 266825
8 13 220787
8 15 176974
8 20 280651
8 22 237809
8 25 325241
8 26 176516
9 11 257357
9 12 126600
9 13 172638
9 15 228148
9 17 121668
9 21 105805
9 22 181967
9 23 80170
9 24 197607
9 26 201273
10 11 138996
10 14 78496
10 17 247377
10 18 264870
10 19 254658
10 21 204086
10 22 144092
10 25 267119
11 17 135689
11 18 257057
11 20 159416
11 23 203717
11 25 128123
12 13 46038
12 14 104795
12 20 54115
12 25 197879
13 14 58757
13 15 73701
13 16 87548
13 18 127617
13 20 100153
13 21 66833
13 26 144207
14 15 14944
14 16 146305
14 19 186345
14 20 118621
14 22 75779
15 16 157712
15 20 103677
15 21 136997
15 22 60835
16 18 195705
16 21 20715
16 22 96877
16 23 165260
16 26 206115
17 18 237741
17 21 176957
17 22 244660
17 24 120861
17 26 79605
18 24 208622
18 25 210984
18 26 249878
19 21 162552
19 25 143222
19 26 182116
20 22 42842
20 23 209670
20 24 197786
20 25 143764
22 24 154944
23 25 119799
24 26 41256
25 26 148742
Case #81: Impossible
Case #82: 266
1 4 185817
1 5 75264
1 6 87027
1 9 133341
1 10 187340
1 14 72396
1 15 95551
1 17 122096
1 22 133476
1 24 124674
1 27 164738
1 29 128647
1 31 98209
1 34 104599
1 36 183133
1 39 99898
1 40 151230
2 5 26921
2 6 86048
2 7 122561
2 9 84998
2 12 3937
2 13 20988
2 17 23752
2 20 17274
2 28 114317
2 31 69876
2 37 70740
2 39 1554
3 7 149383
3 8 92607
3 9 111820
3 10 145735
3 14 56611
3 19 34333
3 20 44096
3 22 23128
3 23 159196
3 24 94307
3 29 100669
3 31 96698
3 32 118767
3 36 111611
4 5 182129
4 11 232709
4 15 160143
4 16 334450
4 19 162719
4 20 172482
4 21 83975
4 26 227954
4 29 134014
4 31 225084
4 32 247153
4 38 139006
4 40 140669
5 12 30858
5 15 52026
5 16 257950
5 26 167092
5 30 37410
5 31 81775
5 32 103844
5 37 77894
5 38 73163
6 8 107811
6 9 168848
6 12 89985
6 13 107036
6 17 82166
6 18 230507
6 22 82354
6 25 182006
6 26 172575
6 27 124808
6 31 155924
6 32 163167
6 33 119456
6 38 103882
7 9 131213
7 13 143549
7 14 134674
7 15 171665
7 16 243888
7 19 130072
7 20 136727
7 24 142542
7 25 150139
7 33 153274
7 34 102471
7 39 121007
8 9 150783
8 10 184698
8 15 83312
8 18 229129
8 24 54189
8 25 169709
8 28 141137
8 29 128953
8 40 118671
9 16 302684
9 27 151392
9 31 122639
9 33 122814
9 34 28742
9 36 169787
9 39 86552
9 40 137884
10 11 196414
10 17 142665
10 22 168863
10 27 185307
10 28 149614
10 37 159931
10 38 112926
10 40 171799
11 13 98489
11 14 107290
11 15 156448
11 16 308530
11 27 143895
11 28 191818
11 36 162290
11 37 148241
11 39 79055
12 15 82884
12 16 234966
12 18 167281
12 22 53887
12 24 71422
12 26 144108
12 29 84241
12 30 6552
12 33 119595
12 36 88726
13 14 35755
13 18 184332
13 19 13477
13 22 70938
13 26 160386
13 27 87382
13 29 86270
13 31 75842
13 32 97911
13 36 105777
13 37 91728
14 17 53541
14 24 84017
14 25 79871
14 29 56251
14 30 40278
14 36 114578
14 37 80762
14 38 76031
15 18 239031
15 20 96221
15 23 199452
15 34 81361
15 37 25868
15 38 21137
15 39 80501
16 17 207277
16 18 391265
16 19 238540
16 23 366556
16 27 187721
16 29 299874
16 30 241518
16 33 253292
16 36 146240
17 18 183988
17 19 31263
17 21 94985
17 26 163923
17 28 90565
17 31 93628
17 33 109567
17 36 61037
18 19 170855
18 21 233812
18 22 212529
18 25 252508
18 27 226630
18 28 254582
18 29 243648
18 32 219620
18 33 275742
18 35 354384
18 36 245025
18 37 230976
18 38 217894
19 20 24785
19 22 57461
19 28 121828
19 30 18000
19 39 9065
20 26 157445
20 27 80560
20 29 97578
20 32 109219
20 40 70160
21 22 67539
21 25 175157
21 27 137627
21 28 155385
21 29 143201
21 30 81722
21 31 141109
21 32 163178
21 35 262273
21 39 72787
22 24 117435
22 26 136477
22 27 116344
22 29 77541
22 30 60439
22 38 127579
23 26 45847
23 31 190381
23 33 236163
23 36 220316
23 38 213156
23 39 137081
24 26 207656
24 27 86375
24 32 159430
24 39 65931
25 28 157086
25 30 114413
25 31 141565
25 32 155560
25 33 135972
26 27 206565
26 30 150660
26 36 224960
26 37 210911
27 28 133207
27 29 146698
27 35 257434
27 39 64840
28 31 184193
28 33 94536
28 34 139186
28 39 112763
28 40 167203
29 30 90793
29 34 24048
29 37 71509
29 39 81858
30 34 66745
30 35 201529
30 38 88118
31 34 93897
31 37 140616
32 36 176734
32 37 162685
32 38 150554
32 40 144831
33 36 170604
33 40 154116
34 40 109142
35 36 275829
35 38 237282
36 38 114914
37 40 123626
38 40 130515
Case #83: 90
1 3 230308
1 4 302936
1 5 227986
1 7 313643
1 9 137791
1 12 343450
1 15 303792
1 17 206863
1 20 84870
2 4 281786
2 5 269718
2 7 244982
2 11 315997
2 12 327107
2 13 380690
2 14 211374
2 16 392912
2 17 453148
2 18 476460
2 20 331155
3 4 72628
3 6 162782
3 7 268369
3 10 238215
3 12 247436
3 13 229982
3 14 60666
3 15 214533
3 16 183754
3 18 267302
3 20 299932
4 6 235410
4 10 215002
4 12 174808
4 13 302610
4 17 425442
5 6 160460
5 11 113186
5 12 253783
5 13 227660
5 15 212211
5 18 342446
5 19 346911
6 8 42342
6 9 133967
6 11 256224
6 20 356628
7 10 156618
7 12 196812
7 15 302489
7 16 452123
7 17 436149
7 19 373908
7 20 241580
8 9 154228
8 10 33091
8 12 73285
8 18 472426
8 19 250381
9 12 227513
9 15 185718
9 17 260297
9 18 359819
9 20 222661
10 11 180791
10 16 421969
10 19 283472
10 20 373884
11 13 336821
11 16 290593
11 18 298168
11 19 396888
12 15 353385
12 16 431190
12 18 438765
12 19 323666
12 20 333690
13 16 413736
13 17 397762
13 18 497284
13 19 394181
13 20 360126
14 15 153867
14 16 244420
14 20 254512
15 16 398287
15 17 446015
15 18 481835
15 19 422717
17 18 319319
Case #84: 198
1 2 216612
1 5 233469
1 6 242055
1 7 147085
1 8 282321
1 10 275229
1 11 205436
1 13 268222
1 14 264028
1 16 199623
1 17 227918
1 18 162803
1 20 224182
1 21 203260
1 22 201797
1 23 300337
1 24 248223
2 5 155911
2 6 244359
2 7 69527
2 11 127878
2 13 177025
2 15 81637
2 16 200277
2 18 53809
2 21 125702
2 22 92803
2 23 228655
3 4 247602
3 5 61242
3 6 219624
3 8 347700
3 9 158067
3 10 161165
3 11 89275
3 13 95995
3 14 197651
3 15 191172
3 16 25560
3 18 163344
3 19 135594
3 20 142516
3 22 202338
3 23 277906
4 5 186360
4 6 71924
4 7 207566
4 8 155053
4 9 283185
4 10 235690
4 12 206825
4 13 221113
4 14 49951
4 15 164020
4 16 230726
4 18 191848
4 19 112008
4 21 177612
4 22 230842
4 23 130206
4 24 138127
5 6 158382
5 7 86384
5 8 286458
5 12 126315
5 13 34753
5 15 129930
5 16 86802
5 17 115097
5 18 102102
5 19 74352
5 20 176773
5 22 141096
5 23 216664
6 8 226977
6 9 255207
6 12 134901
6 13 193135
6 14 21973
6 15 218378
6 16 202748
6 17 231043
6 20 251929
6 22 194134
6 23 58282
7 8 362619
7 11 58351
7 12 39931
7 14 166727
7 15 43546
7 16 130750
7 18 15718
7 19 104670
7 22 54712
7 23 190564
7 24 130789
8 9 313777
8 10 377842
8 11 313380
8 12 361878
8 13 251705
8 14 205004
8 15 319073
8 16 373260
8 17 401555
8 18 346901
8 19 267061
8 21 332665
8 23 285259
9 10 188209
9 12 208130
9 13 62072
9 16 183627
9 17 211922
9 18 152481
9 19 171177
9 20 204092
9 21 224374
9 22 191475
9 23 313489
9 24 197296
10 12 220915
10 13 126137
10 14 246144
10 15 239665
10 16 135605
10 19 184087
10 20 252561
10 21 249691
10 22 250831
10 23 326399
10 24 210206
11 13 62786
11 14 108376
11 15 101897
11 17 100694
11 18 74069
11 19 46319
11 20 189355
11 21 111923
11 22 113063
11 23 188631
11 24 72438
12 13 161068
12 14 156874
12 15 83477
12 16 170681
12 18 55649
12 19 144601
12 20 117028
12 22 94643
12 23 193183
13 14 171162
13 15 164683
13 17 149850
13 18 136855
13 19 109105
13 21 174709
13 23 251417
13 24 135224
14 15 210273
14 16 180775
14 18 182445
14 19 62057
14 21 127661
14 22 216107
15 16 174296
15 17 202548
15 18 27828
15 19 148216
15 20 200505
15 23 202674
16 17 28295
16 18 146468
16 19 118718
16 21 131122
16 22 185462
16 23 261030
16 24 144837
17 19 147013
17 20 145251
17 22 213714
17 24 173132
18 19 120388
18 20 172677
18 21 71893
18 22 38994
18 24 146507
19 22 159382
19 23 142312
20 21 213134
20 22 211671
20 23 310211
20 24 261793
21 22 110887
21 23 207916
22 23 135852
23 24 168431
Case #85: 4
1 4 944063
3 5 907967
5 7 858746
7 8 931190
Case #86: 9
2 3 124098
2 6 304008
2 9 84490
3 5 203113
3 7 208639
3 8 103482
3 9 208588
4 8 298177
6 9 219518
Case #87: Impossible
Case #88: 178
1 3 100620
1 8 148186
1 10 168865
1 12 217137
1 14 259572
1 19 113756
1 22 140157
1 24 284702
1 25 365288
1 27 203793
1 28 162485
1 29 276900
1 36 118890
1 41 297234
2 6 319320
2 10 227893
2 13 210550
2 20 192489
2 25 423284
2 26 408132
2 32 115036
2 33 321372
2 36 124417
2 40 303313
2 42 359914
3 11 195164
3 15 261741
3 19 13136
3 26 310159
3 31 214213
3 34 177262
3 36 136526
3 40 160626
3 41 275064
4 6 360154
4 11 193013
4 14 434337
4 16 266994
4 20 400743
4 22 274909
4 23 540196
4 30 412301
5 6 262929
5 14 232061
5 23 419911
5 28 134974
5 29 249389
5 32 118710
5 38 90639
6 11 253666
6 19 245773
6 23 594825
6 24 416719
6 27 214531
6 28 233057
6 34 183840
6 41 251114
7 11 136483
7 12 118928
7 24 373438
7 33 168579
8 10 204001
8 14 111386
8 16 203919
8 23 459679
8 26 349723
8 27 238929
8 38 211314
9 13 300248
9 24 422451
9 32 229308
9 33 220848
9 35 248392
9 36 256639
9 37 189999
9 39 283639
10 13 226902
10 21 164937
10 24 311018
10 29 286641
10 36 174705
11 13 186775
11 20 207730
11 28 144237
11 30 219288
11 38 81376
12 21 108429
12 24 292597
12 34 60745
12 41 250467
13 14 168223
13 15 269034
13 19 40741
13 22 118639
13 42 358342
14 21 159038
14 25 204332
14 29 246787
14 33 336686
15 19 248605
15 31 219672
15 37 383634
15 38 313691
15 40 229279
16 20 281711
16 24 170708
16 28 218218
16 34 144547
17 35 166592
18 19 198699
18 20 357063
18 29 407985
18 30 360234
18 31 169766
18 36 286687
18 37 333728
19 29 284884
19 33 209204
19 34 190398
19 35 72264
19 36 126874
19 42 399083
20 21 88732
20 33 306398
20 35 184486
20 39 25426
21 23 412027
21 27 192362
21 30 272250
21 32 8975
21 35 95754
22 25 287935
22 31 69277
22 35 180382
22 36 186198
22 42 368583
23 24 507375
23 27 485674
23 31 510592
23 33 493754
23 36 430383
23 38 443433
24 31 282733
24 33 361816
24 35 243210
24 40 344708
24 41 247969
24 42 438021
25 27 361188
25 33 337759
25 37 416196
25 39 340112
25 40 339239
25 41 257296
26 27 285078
26 32 293096
27 34 30691
28 31 73326
29 34 290878
30 32 263275
30 36 290606
30 37 223966
30 38 141343
31 32 107540
31 33 119101
31 35 194319
31 40 120581
32 33 226641
33 35 230206
33 38 113472
33 40 128708
36 38 182018
36 42 272209
37 40 182902
38 39 217606
38 42 231895
40 41 323125
41 42 395891
Case #89: 57
1 2 260079
1 5 264065
1 6 126977
1 9 537568
1 12 162055
1 13 145070
1 15 552533
1 17 720529
1 18 302527
2 3 366811
2 4 259659
2 8 701406
2 9 437160
2 12 184011
2 13 167026
2 15 432463
2 17 642099
2 18 545935
3 7 595280
3 10 359835
3 16 454021
3 18 185485
3 19 171778
4 7 570648
4 9 521317
4 13 128819
4 15 536282
4 17 716142
5 6 358540
5 8 522371
5 10 212812
5 14 429501
5 18 38462
6 8 640249
6 9 508405
6 14 558075
6 19 383295
7 9 126171
7 10 261840
7 14 175841
7 19 473012
8 13 622156
8 14 776344
9 12 473327
10 12 601000
10 15 140366
11 15 678085
11 18 693429
12 13 53171
12 15 460634
12 18 432080
13 18 415095
14 17 489501
14 19 404746
16 18 345460
17 18 539936
18 19 63217
Case #90: Impossible
Case #91: 300
1 2 153730
1 4 154442
1 7 230303
1 11 171411
1 17 232070
1 18 295632
1 19 150949
1 24 146499
1 26 158500
1 27 173442
1 28 143184
1 31 172374
1 33 212249
1 34 158201
1 35 323988
1 38 217549
2 4 47994
2 5 4149
2 6 26507
2 7 127900
2 11 23243
2 20 21343
2 23 61937
2 28 121049
2 30 113026
2 31 65926
2 32 60131
2 33 89370
2 35 217540
3 4 24353
3 6 2866
3 7 126362
3 8 5229
3 9 17204
3 10 3807
3 13 104371
3 14 27120
3 16 90507
3 17 101981
3 18 165543
3 19 20860
3 22 33024
3 26 28411
3 27 77761
3 28 97408
3 30 89385
3 34 28112
3 35 193899
3 36 61982
3 39 85062
4 6 21487
4 7 150248
4 8 19124
4 10 28160
4 12 103811
4 15 88105
4 17 126334
4 20 29669
4 23 13943
4 24 40763
4 27 102114
4 29 89141
4 37 44419
4 41 133090
5 6 22358
5 7 132049
5 8 24721
5 13 123863
5 16 109999
5 17 82489
5 20 17194
5 23 57788
5 25 123264
5 28 116900
6 7 129228
6 12 82324
6 14 24254
6 16 87641
6 19 23726
6 20 8182
6 22 35890
6 23 35430
6 27 80627
6 29 110628
6 32 86638
6 34 30978
6 39 82196
6 41 154577
7 9 117418
7 14 147481
7 16 216402
7 17 214538
7 20 131678
7 22 133238
7 37 194667
7 40 142286
8 9 22433
8 11 46551
8 12 84687
8 18 170772
8 23 33067
8 24 21639
8 25 116615
8 28 92179
8 31 47514
8 32 89001
8 40 27086
8 42 89293
9 12 62254
9 16 107711
9 17 119185
9 18 182747
9 19 38064
9 21 220288
9 23 55500
9 25 105975
9 29 130698
9 33 121917
9 34 45316
9 37 85976
9 40 49519
9 41 174647
9 42 66860
10 14 30927
10 17 98174
10 19 17053
10 24 20217
10 29 117301
10 30 93192
10 40 36122
11 12 120780
11 14 68442
11 16 131829
11 18 206865
11 19 20462
11 20 39024
11 25 145094
11 26 69733
11 27 119083
11 31 83607
11 33 107051
11 35 206836
11 36 103304
11 37 110094
11 38 130508
12 23 117754
12 26 107869
12 28 176866
12 29 192952
12 34 107570
12 35 273357
12 41 236901
13 18 213092
13 19 125231
13 27 182132
13 31 146656
13 33 209084
13 38 174929
13 40 118058
14 15 90872
14 18 174035
14 19 47980
14 21 219746
14 26 36903
14 29 91908
14 30 106047
14 32 110892
14 40 5195
15 16 154259
15 18 202386
15 21 266836
15 23 102048
15 27 104575
15 29 177246
15 31 21467
15 33 154660
15 34 59044
15 36 125734
15 37 132524
15 38 148025
15 41 221195
15 42 121668
16 19 111367
16 20 95823
16 21 283133
16 27 168268
16 29 155295
16 32 174279
16 36 28525
16 39 167137
16 41 199244
17 19 83857
17 20 99683
17 24 118391
17 25 205753
17 31 144266
17 32 146769
17 33 167710
17 34 130093
17 39 187043
18 19 186403
18 21 368627
18 23 190745
18 25 276929
18 26 137132
18 28 249857
18 32 249315
18 33 270256
18 37 186427
19 20 18562
19 23 59156
19 24 37270
19 25 124632
19 26 49271
19 27 98621
19 32 62912
19 33 86589
19 34 48972
19 35 214759
19 37 89632
19 38 110046
19 41 178303
19 42 104924
20 21 208400
20 28 102724
20 29 118810
20 31 47601
20 33 102415
20 34 33428
20 39 90378
20 41 162759
20 42 89380
21 27 280845
21 30 282011
21 31 245369
21 34 231196
21 35 386525
21 36 254608
21 37 261398
22 23 71320
22 27 76377
22 29 146518
22 30 122409
22 37 101796
22 38 120484
22 39 84334
23 26 53613
23 27 116057
23 32 122068
23 33 128177
23 35 221737
24 26 44821
24 29 129904
24 31 25875
24 35 210309
24 38 105596
25 28 163633
25 33 208485
25 34 139498
25 35 305285
25 39 174489
25 40 143701
26 27 106172
26 30 117796
26 32 112183
26 34 56523
26 38 98969
26 40 42098
26 41 172760
26 42 112475
27 32 161533
27 35 271660
27 36 139743
28 33 69065
28 37 89588
28 38 137888
28 40 81017
29 32 197266
29 36 126770
29 42 113245
30 34 117497
30 35 272826
30 42 173449
31 38 131471
32 42 167836
33 36 162581
33 40 132914
33 41 129100
33 42 166224
34 36 90094
34 39 113174
34 40 60427
35 37 252213
35 39 273229
35 40 215756
35 42 277963
36 40 45591
37 40 52381
38 39 36150
39 40 93021
Case #92: 106
1 5 310330
1 8 100115
1 9 167479
1 12 66241
1 13 362883
1 15 33438
1 16 324779
1 17 283049
1 19 362704
1 23 357899
1 27 255336
2 6 225723
2 7 372436
2 9 186262
2 19 114759
2 21 219769
